Latitude,Longitude,10 Mi Quakes,25 Mi Quakes,50 Mi Quakes,Max Mag 10 Mi,Max Mag 25 Mi,Max Mag 50 Mi,Time D 10Mi,Time D 25Mi,Time D 50Mi,T 10Mi,T 25Mi,T 50Mi
34.343,-116.46799999999999,188,1092,1321,5.41,7.3,7.3,299154.0,301753.0,301753.0,4.42,5.42,5.42
40.368,-119.7905,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.6,2.6,2.6
32.793,-118.31700000000001,1,2,68,2.56,2.61,4.18,1946309.0,1075330.0,864908.0,2.57,2.57,3.52
34.062,-118.09,10,10,15,5.9,5.9,5.9,1394.0,1394.0,1394.0,5.25,5.25,5.25
36.2261667,-118.32216670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.942,-116.946,25,28,195,4.11,4.11,5.29,2084239.0,2084239.0,1863406.0,3.38,3.38,3.79
35.747833299999996,-117.5425,57,60,63,6.4,6.4,6.4,1769.0,1769.0,1769.0,7.1,7.1,7.1
37.441166700000004,-118.87316670000001,3,9,10,3.21,3.57,3.57,1276466.0,1828594.0,1828594.0,5.3,5.3,5.3
38.431999999999995,-119.36483329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.5711667,-121.165,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.3678333,-120.88233329999998,0,0,2,0.0,0.0,2.82,-1.0,-1.0,2280196.0,0.0,0.0,0.0
35.8856667,-118.0045,31,39,41,4.25,4.25,4.25,1121075.0,1121075.0,1121075.0,3.0,3.01,3.01
37.629,-118.8655,29,30,31,3.9,3.9,3.9,71044.0,71044.0,71044.0,4.25,4.25,4.25
33.8928333,-115.54299999999999,5,5,6,3.0,3.0,3.0,1216887.0,1216887.0,1216887.0,3.0,3.0,3.0
33.985,-116.366,577,951,2359,5.7,7.3,7.3,1218270.0,1218492.0,1218492.0,4.96,4.96,4.96
38.8316667,-122.82366670000002,8,10,11,3.3,3.3,3.3,1957526.0,1957526.0,1957526.0,3.19,3.19,3.19
36.6026667,-121.20766670000002,3,3,6,2.87,2.87,2.87,926258.0,926258.0,926258.0,2.73,3.83,3.83
35.5888333,-120.98633329999998,27,45,45,3.55,4.51,4.51,2620428.0,2243699.0,2243699.0,3.16,3.42,3.42
40.31,-124.54283329999998,0,0,2,0.0,0.0,3.2,-1.0,-1.0,1300477.0,0.0,0.0,0.0
37.7813333,-120.40966670000002,0,0,1,0.0,0.0,2.69,-1.0,-1.0,1853322.0,2.5,2.5,2.5
37.3911667,-122.26283329999998,0,0,1,0.0,0.0,2.98,-1.0,-1.0,1966436.0,0.0,0.0,0.0
36.4383333,-121.01483329999999,0,2,8,0.0,2.62,3.1,-1.0,1469122.0,2628437.0,3.26,3.26,3.26
32.7213333,-115.88799999999999,483,737,748,4.93,4.93,4.93,2583686.0,2583686.0,2583686.0,4.8,4.8,4.8
38.003,-119.9581667,0,0,2,0.0,0.0,3.29,-1.0,-1.0,1414836.0,0.0,0.0,0.0
32.986999999999995,-117.851,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.79,-116.959,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.2586667,-117.38383329999999,0,2,4,0.0,2.65,2.93,-1.0,2456740.0,1328678.0,3.72,3.72,3.72
35.92,-118.022,0,1,11,0.0,2.78,3.68,-1.0,1318205.0,253087.0,0.0,0.0,4.07
38.5658333,-119.5085,1,1,1,2.62,2.62,2.62,1552470.0,1552470.0,1552470.0,2.89,2.89,2.89
32.913000000000004,-116.228,0,1,9,0.0,2.53,3.01,-1.0,1183332.0,1447377.0,0.0,2.85,2.85
34.311,-116.427,342,1346,1745,4.42,5.42,5.42,2051264.0,2227125.0,2227125.0,4.57,4.57,4.57
34.022,-116.35600000000001,471,765,1597,5.77,7.3,7.3,463041.0,463232.0,463232.0,4.44,4.44,5.42
36.324,-118.061,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.4976667,-120.85116670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.145166700000004,-124.50816670000002,0,5,9,0.0,3.2,4.4,-1.0,1921989.0,1922150.0,4.3,4.3,4.3
32.961,-117.68,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.863,-121.59899999999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
32.7213333,-115.97666670000001,175,206,213,5.71,5.71,5.71,825067.0,825067.0,825067.0,3.59,4.17,4.17
33.251,-114.70200000000001,0,0,3,0.0,0.0,2.84,-1.0,-1.0,134253.0,3.26,3.26,3.26
32.8655,-116.22683329999998,0,3,11,0.0,3.26,3.7,-1.0,2456762.0,568983.0,3.42,3.42,3.42
